the_geom,OBJECTID,TYPE,Lat,Long
POINT (-71.07865319937572 42.351618752519315),192,LIGHT,42.35161875,-71.0786532
POINT (-71.07962518473647 42.35135582107227),193,LIGHT,42.35135582,-71.07962518
POINT (-71.07830938736575 42.351599049779296),194,LIGHT,42.35159905,-71.07830939
POINT (-71.07847495146632 42.351552525670456),195,LIGHT,42.35155253,-71.07847495
POINT (-71.07868636488868 42.35149592760738),196,LIGHT,42.35149593,-71.07868636
POINT (-71.07887927781813 42.35144446868879),197,LIGHT,42.35144447,-71.07887928
POINT (-71.07910208469254 42.35138337592102),198,LIGHT,42.35138338,-71.07910208
POINT (-71.07928750890636 42.35133344551118),199,LIGHT,42.35133345,-71.07928751
POINT (-71.0795146504973 42.35127143600333),200,LIGHT,42.35127144,-71.07951465
POINT (-71.07972919686381 42.351213050501634),201,LIGHT,42.35121305,-71.0797292
POINT (-71.07794399101586 42.35169695552519),202,LIGHT,42.35169696,-71.07794399
POINT (-71.07796930582731 42.35156218034953),203,LIGHT,42.35156218,-71.07796931
POINT (-71.07824432260458 42.351533232168585),204,LIGHT,42.35153323,-71.07824432
POINT (-71.07806420678808 42.35136518031993),205,LIGHT,42.35136518,-71.07806421
POINT (-71.07786179826829 42.35134060765149),206,LIGHT,42.35134061,-71.0778618
POINT (-71.07826038048873 42.35120165987592),207,LIGHT,42.35120166,-71.07826038
POINT (-71.07850610566739 42.35113517224105),208,LIGHT,42.35113517,-71.07850611
POINT (-71.07809837283331 42.351116312192005),209,LIGHT,42.35111631,-71.07809837
POINT (-71.0780397639592 42.35099436518799),210,LIGHT,42.35099437,-71.07803976
POINT (-71.07801550496016 42.35087135942591),211,LIGHT,42.35087136,-71.07801551
POINT (-71.07788091484588 42.35099221657765),212,LIGHT,42.35099222,-71.07788091
POINT (-71.07796696604437 42.35096677870142),213,LIGHT,42.35096678,-71.07796697
POINT (-71.07805239331334 42.35114025688071),214,LIGHT,42.35114026,-71.07805239
POINT (-71.07796526615624 42.35116338702697),215,LIGHT,42.35116339,-71.07796527
POINT (-71.07769936347412 42.35101615403855),216,LIGHT,42.35101615,-71.07769936
POINT (-71.07759496057601 42.350983391608274),217,LIGHT,42.35098339,-71.07759496
POINT (-71.07754865944251 42.35088262118962),218,LIGHT,42.35088262,-71.07754866
POINT (-71.07756712222944 42.35074400096803),219,LIGHT,42.350744,-71.07756712
POINT (-71.07826255599318 42.35080446754344),220,LIGHT,42.35080447,-71.07826256
POINT (-71.0782133657035 42.350702718982745),221,LIGHT,42.35070272,-71.07821337
POINT (-71.07802927818216 42.35075292355655),222,LIGHT,42.35075292,-71.07802928
POINT (-71.0784551837962 42.35075090791008),223,LIGHT,42.35075091,-71.07845518
POINT (-71.07841120042299 42.35064911640156),224,LIGHT,42.35064912,-71.0784112
POINT (-71.07860904544073 42.35059628596816),225,LIGHT,42.35059629,-71.07860905
POINT (-71.07865848775796 42.350697452795096),226,LIGHT,42.35069745,-71.07865849
POINT (-71.0788407609895 42.350647841965376),227,LIGHT,42.35064784,-71.07884076
POINT (-71.07879313204027 42.35054608136474),228,LIGHT,42.35054608,-71.07879313
POINT (-71.07904894768158 42.350590288813784),229,LIGHT,42.35059029,-71.07904895
POINT (-71.07898682253261 42.35049405703038),230,LIGHT,42.35049406,-71.07898682
POINT (-71.07923565528726 42.35054122026242),231,LIGHT,42.35054122,-71.07923566
POINT (-71.07724585906574 42.351077785341396),232,LIGHT,42.35107779,-71.07724586
POINT (-71.07745121127563 42.351021997329795),233,LIGHT,42.351022,-71.07745121
POINT (-71.07707320541745 42.35112673400286),234,LIGHT,42.35112673,-71.07707321
POINT (-71.07702633342139 42.35102322799103),235,LIGHT,42.35102323,-71.07702633
POINT (-71.07719849446279 42.35097621501498),236,LIGHT,42.35097622,-71.07719849
POINT (-71.07739400835764 42.350923985793806),237,LIGHT,42.35092399,-71.07739401
POINT (-71.07778583082795 42.35042039239172),238,LIGHT,42.35042039,-71.07778583
POINT (-71.0781493235031 42.35032040949347),239,LIGHT,42.35032041,-71.07814932
POINT (-71.07840657211405 42.35025337195291),240,LIGHT,42.35025337,-71.07840657
POINT (-71.077137809531 42.350594403465216),241,LIGHT,42.3505944,-71.07713781
POINT (-71.07559445118982 42.351046345571866),242,LIGHT,42.35104635,-71.07559445
POINT (-71.07775959834404 42.35054209736502),243,LIGHT,42.3505421,-71.0777596
POINT (-71.07767323825314 42.350563881470904),244,LIGHT,42.35056388,-71.07767324
POINT (-71.07776026283487 42.35074369840183),245,LIGHT,42.3507437,-71.07776026
POINT (-71.07784557627981 42.350720370890414),246,LIGHT,42.35072037,-71.07784558
POINT (-71.0775687520666 42.350360470308004),247,LIGHT,42.35036047,-71.07756875
POINT (-71.07736327152227 42.350258110198425),248,LIGHT,42.35025811,-71.07736327
POINT (-71.07749956652212 42.350221559571565),249,LIGHT,42.35022156,-71.07749957
POINT (-71.07715815363646 42.34994086412052),250,LIGHT,42.34994086,-71.07715815
POINT (-71.07756410354955 42.35010869758784),251,LIGHT,42.3501087,-71.0775641
POINT (-71.07714539105575 42.35022203577986),252,LIGHT,42.35022204,-71.07714539
POINT (-71.07690373302971 42.35012186455174),253,LIGHT,42.35012186,-71.07690373
POINT (-71.07733513381919 42.34991545674642),254,LIGHT,42.34991546,-71.07733513
POINT (-71.07750041030914 42.34996888512174),255,LIGHT,42.34996889,-71.07750041
POINT (-71.0778572147381 42.35002967149434),256,LIGHT,42.35002967,-71.07785721
POINT (-71.07816960030172 42.34994626252246),257,LIGHT,42.34994626,-71.0781696
POINT (-71.07783016225244 42.349878325942704),258,LIGHT,42.34987833,-71.07783016
POINT (-71.07809806371371 42.349805232328876),259,LIGHT,42.34980523,-71.07809806
POINT (-71.0769007379906 42.349954281408266),260,LIGHT,42.34995428,-71.07690074
POINT (-71.07674182092171 42.349998789463065),261,LIGHT,42.34999879,-71.07674182
POINT (-71.07669053522079 42.3500784412136),262,LIGHT,42.35007844,-71.07669054
POINT (-71.0766331327936 42.34995939863121),263,LIGHT,42.3499594,-71.07663313
POINT (-71.07647186856057 42.35000294516363),264,LIGHT,42.35000295,-71.07647187
POINT (-71.07630871437334 42.34994607951292),265,LIGHT,42.34994608,-71.07630871
POINT (-71.07593052771414 42.35004949104423),266,LIGHT,42.35004949,-71.07593053
POINT (-71.07640083748035 42.35025666650831),267,LIGHT,42.35025667,-71.07640084
POINT (-71.07666822800184 42.35018550816331),268,LIGHT,42.35018551,-71.07666823
POINT (-71.07653030444013 42.35012222480769),269,LIGHT,42.35012222,-71.0765303
POINT (-71.07637033548758 42.350164031203406),270,LIGHT,42.35016403,-71.07637034
POINT (-71.07607095626253 42.35024509477377),271,LIGHT,42.35024509,-71.07607096
POINT (-71.07591099317695 42.35028883077788),272,LIGHT,42.35028883,-71.07591099
POINT (-71.07587282365468 42.350398969384486),273,LIGHT,42.35039897,-71.07587282
POINT (-71.07595920470972 42.35054325803725),274,LIGHT,42.35054326,-71.0759592
POINT (-71.07612434560421 42.350331123562114),275,LIGHT,42.35033112,-71.07612435
POINT (-71.0761971978323 42.35047775333969),276,LIGHT,42.35047775,-71.0761972
POINT (-71.07646626234198 42.35040546096405),277,LIGHT,42.35040546,-71.07646626
POINT (-71.07672949225822 42.350335468334606),278,LIGHT,42.35033547,-71.07672949
POINT (-71.07694303725732 42.35027773074449),279,LIGHT,42.35027773,-71.07694304
POINT (-71.07585170056399 42.35017130862951),280,LIGHT,42.35017131,-71.0758517
POINT (-71.07572203420676 42.34966504296191),281,LIGHT,42.34966504,-71.07572203
POINT (-71.07547023106561 42.349725743955545),282,LIGHT,42.34972574,-71.07547023
POINT (-71.07522781154437 42.34979028909577),283,LIGHT,42.34979029,-71.07522781
POINT (-71.07497863109867 42.34985755012395),284,LIGHT,42.34985755,-71.07497863
POINT (-71.07607791459664 42.34963662428558),285,LIGHT,42.34963662,-71.07607791
POINT (-71.07619632783491 42.34962501847167),286,LIGHT,42.34962502,-71.07619633
POINT (-71.0763575902393 42.34958108609315),287,LIGHT,42.34958109,-71.07635759
POINT (-71.0765170326528 42.34953812270213),288,LIGHT,42.34953812,-71.07651703
POINT (-71.07667621292164 42.34949458013823),289,LIGHT,42.34949458,-71.07667621
POINT (-71.07674555608426 42.34944444068576),290,LIGHT,42.34944444,-71.07674556
POINT (-71.07669509534225 42.34929854366442),291,LIGHT,42.34929854,-71.0766951
POINT (-71.07640178012082 42.34940180459702),292,LIGHT,42.3494018,-71.07640178
POINT (-71.076068854407 42.34949277652586),293,LIGHT,42.34949278,-71.07606885
POINT (-71.07662524181764 42.349576601692206),294,LIGHT,42.3495766,-71.07662524
POINT (-71.07646580043628 42.34961995146181),295,LIGHT,42.34961995,-71.0764658
POINT (-71.07630531429238 42.349662144788155),296,LIGHT,42.34966214,-71.07630531
POINT (-71.07679299406904 42.34991689284817),297,LIGHT,42.34991689,-71.07679299
POINT (-71.07708654060768 42.34977256858459),298,LIGHT,42.34977257,-71.07708654
POINT (-71.07724521129761 42.34973211586123),299,LIGHT,42.34973212,-71.07724521
